nama,berat,url,negara,noc,cabor,negl,kotal,tinggi,tgll,status
 Sanju,54kg,https://id.asiangames2018.id/athletes/athlete/SANJU-3003847/,India,IND,Sepak Bola,NA,,161CM,09/12/1997,
DILAWAR KHAN SANNAN,78kg,https://id.asiangames2018.id/athletes/athlete/SANNAN-Dilawar-Khan-3024546/,Pakistan,PAK,Kurash,Pakistan,KARACHI,182CM,06/20/1997,
KORNKANOK SANPOUNG,53kg,https://id.asiangames2018.id/athletes/athlete/SANPOUNG-Kornkanok-3021529/,Thailand,THA,Hoki,Thailand,UTTARADIT,161CM,08/02/1996,
THEERACHAI SANSAMRAN,58kg,https://id.asiangames2018.id/athletes/athlete/SANSAMRAN-Theerachai-3021406/,Thailand,THA,Hoki,Thailand,NARATHIWAT,166CM,10/03/1999,
WELLYANTI SANTI,60kg,https://id.asiangames2018.id/athletes/athlete/SANTI-Wellyanti-3022181/,Indonesia,INA,Panjat Tebing,Indonesia,,158CM,06/30/1990,
ALYJA DAPHNE SANTIAGO,71kg,https://id.asiangames2018.id/athletes/athlete/SANTIAGO-Alyja-Daphne-3017602/,Philippines,PHI,Bola Voli,Philippines,,196CM,01/20/1996,
NI MADE PRAARTHINI SAMITHA SANTIH,-,https://id.asiangames2018.id/athletes/athlete/SANTIH-Ni-Made-Praarthini-Samith-3029649/,Indonesia,INA,Kabaddi,Indonesia,,-,06/30/2002,
APRILIA SANTINI MANGANANG,68kg,https://id.asiangames2018.id/athletes/athlete/SANTINI-MANGANANG-Aprilia-3018178/,Indonesia,INA,Bola Voli,Indonesia,,170CM,04/27/1992,
ANAS MUHSINUN JOKO SANTOSO,82kg,https://id.asiangames2018.id/athletes/athlete/SANTOSO-Anas-Muhsinun-Joko-3020808/,Indonesia,INA,Menembak,Indonesia,,172CM,07/13/1975,
FELDA ELVIRA SANTOSO,53kg,https://id.asiangames2018.id/athletes/athlete/SANTOSO-Felda-Elvira-3020142/,Indonesia,INA,Wushu,Indonesia,,156CM,06/22/1993,
FICKY SUPIT SANTOSO,70kg,https://id.asiangames2018.id/athletes/athlete/SANTOSO-Ficky-Supit-3018282/,Indonesia,INA,Tenis Meja,Indonesia,,170CM,08/02/1990,
SHARON ADELINA LIMAN SANTOSO,50kg,https://id.asiangames2018.id/athletes/athlete/SANTOSO-Sharon-Adelina-Liman-3017882/,Indonesia,INA,Boling,Indonesia,,155CM,10/30/1984,
